plant_species;match_type;multiple_matches;match_similarity;match_edit_distance;wcvp_id;wcvp_name;wcvp_authors;wcvp_rank;wcvp_status;wcvp_homotypic;wcvp_ipni_id;wcvp_accepted_id
Prosopis juliflora;Exact (without author);FALSE;1;0;2554550;Prosopis juliflora;(Sw.) DC.;Species;Synonym;TRUE;1002432-2;2383875
Salix acmophila;Fuzzy (phonetic);FALSE;0.875;2;2918931;Salix acmophylla;Boiss.;Species;Accepted;NA;776943-1;2918931
Seseli bocconi;Fuzzy (phonetic);FALSE;0.933;1;2479541;Seseli bocconei;Guss.;Species;Accepted;NA;848473-1;2479541
Salix glabra;Exact (without author);FALSE;1;0;2917699;Salix glabra;Scop.;Species;Accepted;NA;777660-1;2917699
Salix waldsteiniana;Exact (without author);FALSE;1;0;2917163;Salix waldsteiniana;Willd.;Species;Accepted;NA;779180-1;2917163
Alchemilla glabra;Exact (without author);TRUE;1;0;2939378;Alchemilla glabra;Buser;Species;Illegitimate;NA;NA;2939319
Alchemilla glabra;Exact (without author);TRUE;1;0;2939375;Alchemilla glabra;Neygenf.;Species;Accepted;NA;720597-1;2939375
Alchemilla glabra;Exact (without author);TRUE;1;0;2939376;Alchemilla glabra;Suffrian;Species;Unplaced;NA;720596-1;NA
Alchemilla glabra;Exact (without author);TRUE;1;0;2939377;Alchemilla glabra;A.Kern.;Species;Unplaced;NA;NA;NA
Alchemilla pratensis;Exact (without author);TRUE;1;0;2940088;Alchemilla pratensis;(F.W.Schmidt) Buser;Species;Illegitimate;TRUE;NA;2941188
Alchemilla pratensis;Exact (without author);TRUE;1;0;2940087;Alchemilla pratensis;Opiz;Species;Unplaced;NA;60454791-2;NA
Allium senescens;Exact (without author);TRUE;1;0;296571;Allium senescens;L.;Species;Accepted;NA;528844-1;296571
Allium senescens;Exact (without author);TRUE;1;0;296572;Allium senescens;Thunb.;Species;Illegitimate;NA;528845-1;460684
Allium senescens;Exact (without author);TRUE;1;0;296573;Allium senescens;Suter;Species;Misapplied;NA;528843-1;295009
Allium senescens;Exact (without author);TRUE;1;0;296575;Allium senescens;Host;Species;Misapplied;NA;528848-1;295934
Allium senescens;Exact (without author);TRUE;1;0;296576;Allium senescens;Miq.;Species;Misapplied;NA;528846-1;296376
Allium senescens;Exact (without author);TRUE;1;0;296574;Allium senescens;Ker Gawl.;Species;Illegitimate;NA;528847-1;527730
Xanthium orientale subsp. italicum;Exact (without author);FALSE;1;0;2916616;Xanthium orientale subsp. italicum;(Moretti) Greuter;Subspecies;Synonym;NA;50426519-2;2916928
Artemisia campestris subsp. variabilis;Exact (without author);FALSE;1;0;3107871;Artemisia campestris subsp. variabilis;(Ten.) Greuter;Subspecies;Accepted;NA;70028977-1;3107871
Juncus conglomeratus;Exact (without author);FALSE;1;0;314807;Juncus conglomeratus;L.;Species;Accepted;NA;442841-1;314807
Eriophorum angustifolium;Exact (without author);FALSE;1;0;244512;Eriophorum angustifolium;Honck.;Species;Accepted;NA;307335-1;244512
Juncus squarrosus;Exact (without author);FALSE;1;0;315820;Juncus squarrosus;L.;Species;Accepted;NA;443512-1;315820
Schoenoplectus lacustris;Exact (without author);FALSE;1;0;262997;Schoenoplectus lacustris;(L.) Palla;Species;Accepted;NA;1019162-1;262997
Cyperus capitatus;Exact (without author);TRUE;1;0;235980;Cyperus capitatus;(L.) Burm.f. ex B.D.Jacks.;Species;Invalid;NA;77239487-1;242508
Cyperus capitatus;Exact (without author);TRUE;1;0;235982;Cyperus capitatus;Vand.;Species;Accepted;NA;304048-1;235982
Cyperus capitatus;Exact (without author);TRUE;1;0;235981;Cyperus capitatus;Poir.;Species;Illegitimate;NA;304046-1;236431
Cyperus capitatus;Exact (without author);TRUE;1;0;235983;Cyperus capitatus;Retz.;Species;Illegitimate;NA;304047-1;236226
Cyperus conglomeratus;Exact (without author);FALSE;1;0;236126;Cyperus conglomeratus;Rottb.;Species;Accepted;NA;304179-1;236126
Cyperus rotundus;Exact (without author);FALSE;1;0;238342;Cyperus rotundus;L.;Species;Accepted;NA;305797-1;238342
Arnebia;Exact (without author);FALSE;1;0;2652958;Arnebia;Forssk.;Genus;Accepted;NA;4463-1;2652958
Alisma lanceolatum;Exact (without author);FALSE;1;0;294813;Alisma lanceolatum;With.;Species;Accepted;NA;1047073-2;294813
Alisma plantago-aquatica;Exact (without author);FALSE;1;0;294841;Alisma plantago-aquatica;L.;Species;Accepted;NA;30019518-2;294841
Luronium natans;Exact (without author);FALSE;1;0;280518;Luronium natans;(L.) Raf.;Species;Accepted;NA;58435-1;280518
Sagittaria sagittifolia;Exact (without author);FALSE;1;0;287474;Sagittaria sagittifolia;L.;Species;Accepted;NA;30074004-2;287474
Stratiotes aloides;Exact (without author);FALSE;1;0;308859;Stratiotes aloides;L.;Species;Accepted;NA;431936-1;308859
Myriophyllum quitense;Exact (without author);FALSE;1;0;2366539;Myriophyllum quitense;Kunth;Species;Accepted;NA;430453-1;2366539
Myriophyllum verticillatum;Exact (without author);FALSE;1;0;2366658;Myriophyllum verticillatum;L.;Species;Accepted;NA;430479-1;2366658
Potamogeton pusillus;Exact (without author);FALSE;1;0;308698;Potamogeton pusillus;L.;Species;Accepted;NA;208919-2;308698
Ceratophyllum submersum;Exact (without author);FALSE;1;0;36951;Ceratophyllum submersum;L.;Species;Accepted;NA;163088-1;36951
Hydrocharis morsus-ranae;Exact (without author);FALSE;1;0;308132;Hydrocharis morsus-ranae;L.;Species;Accepted;NA;431799-1;308132
Myriophyllum;Exact (without author);FALSE;1;0;2366573;Myriophyllum;Ponted. ex L.;Genus;Accepted;NA;30028764-2;2366573
Potamogeton crispus;Exact (without author);FALSE;1;0;308529;Potamogeton crispus;L.;Species;Accepted;NA;323116-2;308529
Potamogeton natans;Exact (without author);FALSE;1;0;308642;Potamogeton natans;L.;Species;Accepted;NA;208872-2;308642
Potamogeton polygonifolius;Exact (without author);FALSE;1;0;308686;Potamogeton polygonifolius;Pourr.;Species;Accepted;NA;603369-1;308686
Juncus bufonius;Exact (without author);FALSE;1;0;314576;Juncus bufonius;L.;Species;Accepted;NA;30079279-2;314576
Potamogeton gramineus;Exact (without author);FALSE;1;0;308578;Potamogeton gramineus;L.;Species;Accepted;NA;323120-2;308578
Monanthes laxiflora;Exact (without author);FALSE;1;0;2372467;Monanthes laxiflora;(DC.) Bolle;Species;Accepted;NA;274585-1;2372467
Butomus umbellatus;Exact (without author);FALSE;1;0;301538;Butomus umbellatus;L.;Species;Accepted;NA;58290-1;301538
Utricularia vulgaris;Exact (without author);FALSE;1;0;518894;Utricularia vulgaris;L.;Species;Accepted;NA;527199-1;518894
Helosciadium crassipes;Exact (without author);FALSE;1;0;2844888;Helosciadium crassipes;W.D.J.Koch ex Rchb.;Species;Accepted;NA;77221787-1;2844888
Nuphar lutea;Exact (without author);FALSE;1;0;2384511;Nuphar lutea;(L.) Sm.;Species;Accepted;NA;30385379-2;2384511
Nymphaea alba;Exact (without author);FALSE;1;0;2383355;Nymphaea alba;L.;Species;Accepted;NA;171158-2;2383355
Trapa natans;Exact (without author);FALSE;1;0;2519351;Trapa natans;L.;Species;Accepted;NA;614405-1;2519351
Groenlandia densa;Exact (without author);FALSE;1;0;309909;Groenlandia densa;(L.) Fourr.;Species;Accepted;NA;602950-1;309909
Callitriche;Exact (without author);FALSE;1;0;31517;Callitriche;L.;Genus;Accepted;NA;30006057-2;31517
Alyssum murale;Exact (without author);TRUE;1;0;2632329;Alyssum murale;M.Bieb.;Species;Misapplied;NA;277657-1;2392881
Alyssum murale;Exact (without author);TRUE;1;0;2632328;Alyssum murale;Waldst. & Kit.;Species;Synonym;TRUE;277658-1;2392917
