"species","tiles","area"
"Anabasis aphylla",37,94334557594.3863
"Anabasis articulata",12,31181813395.545
"Anacamptis coriophora",828,1814792897833.38
"Anacamptis laxiflora",509,1155924195186.25
"Anacamptis morio",1406,2830638658326.98
"Anacamptis palustris",499,1045324990771.11
"Anacamptis pyramidalis",1251,2431891162151.91
"Anacamptis sancta",7,2425960265.66585
"Anacyclus clavatus",338,816279189101.825
"Anacyclus radiatus",182,405035507959.106
"Anacyclus valentinus",64,148538890880.599
"Anagyris foetida",171,346947289098.659
"Ananas comosus",1,2575089514.63163
"Anaphalis triplinervis",50,93079212218.3214
"Anarrhinum bellidifolium",257,685598589502.436
"Anastatica hierochuntica",1,3572224493.49669
"Anchusa aegyptiaca",5257,7973844391041.17
"Anchusa arvensis",1109,1962441649519.11
"Anchusa azurea",622,1429099218765.6
"Anchusa calcarea",30,70428444028.8629
"Anchusa capensis",1,1923135003.97742
"Anchusa cespitosa",2,2419269293.46165
"Anchusa cretica",63,117620603350.779
"Anchusa gmelinii",22,49702350480.4779
"Anchusa hybrida",59,112239509210.86
"Anchusa leptophylla",9,10220734170.2601
"Anchusa ochroleuca",81,152036280851.306
"Anchusa officinalis",1644,2856524403048.66
"Anchusa ovata",19,45855439007.0958
"Anchusa procera",48,104866339909.163
"Anchusa strigosa",1,2434048048.42061
"Anchusa thessala",8,10184957501.4463
"Anchusa undulata",206,528880777768.466
"Anchusa undulata subsp. granatensis",206,528880777768.466
"Andrachne telephioides",48,107618433185.17
"Andromeda polifolia",2568,3079697383830.53
"Andropogon distachyos",74,138788181023.091
"Androsace alpina",102,184926477884.13
"Androsace chamaejasme",88,128545835217.735
"Androsace elongata",320,665053759593.75
"Androsace helvetica",90,159707538711.959
"Androsace lactea",65,128874605187.32
"Androsace laggeri",41,78526846931.8799
"Androsace maxima",397,909742834944.452
"Androsace obtusifolia",91,156333344866.697
"Androsace pubescens",46,81526934077.5585
"Androsace septentrionalis",586,887358091022.665
"Androsace villosa",204,464268318252.261
"Androsace vitaliana",87,197175130558.298
"Andryala arenaria",60,164884229189.08
"Andryala glandulosa",3,10021938132.328
"Andryala integrifolia",455,1103252948645.19
"Andryala pinnatifida",3,9093413383.054
"Andryala ragusina",158,439232041624.36
"Andryala rothia",74,208450613390.42
"Anemonastrum dichotomum",1,855924868.899582
"Anemonastrum narcissiflorum",206,368174005722.317
"Anemone coronaria",730,1497557677898.24
"Anemone hortensis",299,589098125521.167
"Anemone virginiana",2,7088457484.53374
"Anemonoides altaica",120,187749220075.945
"Anemonoides apennina",153,302301927014.212
"Anemonoides baldensis",47,77121663654.4352
"Anemonoides blanda",435,788805613787.017
"Anemonoides nemorosa",2027,3413518763305.13
"Anemonoides ranunculoides",1636,2924352258394.87
"Anemonoides reflexa",5,8377419354.40441
"Anemonoides sylvestris",619,1148909955932.84
"Anemonoides trifolia",63,131289132586.115
"Anethum graveolens",1238,2264842132091.87
"Angelica archangelica",2259,2810730345674.63
"Angelica archangelica subsp. litoralis",2259,2810730345674.63
"Angelica atropurpurea",4,7355616306.73439
"Angelica decurrens",46,39880782757.4068
"Angelica major",56,143488785670.599
"Angelica pyrenaea",24,50287833966.8642
"Angelica razulii",58,129965996756.78
"Angelica sylvestris",3640,5245438949080.32
"Annona cherimola",8,20814382967.3235
"Anoda cristata",51,86670162056.4535
"Antennaria dioica",2936,3789060753549.42
"Anthemis arvensis",1641,2955544051159.68
"Anthemis chia",29,44338084551.8455
"Anthemis cotula",1059,2081161431518.1
"Anthemis cretica",93,225758217147.492
"Anthemis cretica subsp. carpatica",93,225758217147.492
"Anthemis maritima",177,327119314369.17
"Anthemis pedunculata",32,99107161322.8231
"Anthemis rigida",11,11622284127.3198
"Anthemis ruthenica",377,694765142424.501
"Anthemis secundiramea",11,10841735349.4783
"Anthericum liliago",721,1557260246314.05
"Anthericum ramosum",884,1761469166408.09
"Anthoxanthum aristatum",539,1118647500516.99
"Anthoxanthum australe",164,251849118769.921
"Anthoxanthum nipponicum",1035,955803791272.875
"Anthoxanthum nitens",1853,1999287488955.43
"Anthoxanthum odoratum",3278,4630110283324.98
"Anthoxanthum ovatum",59,138671749697.316
"Anthoxanthum repens",140,266465205365.414
"Anthriscus caucalis",1003,1961579792269.82
"Anthriscus cerefolium",976,1904421110649.34
"Anthriscus nemorosa",11,22058906696.8738
"Anthriscus nitida",190,344700155016.734
"Anthriscus sylvestris",3825,5578498479194.82
"Anthriscus sylvestris subsp. mollis",3825,5578498479194.82
"Anthriscus sylvestris subsp. sylvestris",3825,5578498479194.82
"Anthriscus tenerrima",1,1055005268.01337
"Anthurium andraeanum",5,7054397406.24478
"Anthyllis circinnata",66,103876860278.363
"Anthyllis cytisoides",104,273453036238.303
"Anthyllis hamosa",33,85158735351.676
"Anthyllis hermanniae",77,103128340078.252
"Anthyllis lotoides",101,281539045860.011
"Anthyllis montana",232,561837773692.226
"Anthyllis polycephala",7,19979151366.8565
"Anthyllis terniflora",21,58118741727.8738
"Anthyllis vulneraria",2666,4301804841309.09
"Anthyllis vulneraria subsp. alpestris",2666,4301804841309.09
"Anthyllis vulneraria subsp. arundana",2666,4301804841309.09
"Anthyllis vulneraria subsp. forondae",40,88351118388.5834
"Anthyllis vulneraria subsp. iberica",2666,4301804841309.09
"Anthyllis vulneraria subsp. lapponica",2666,4301804841309.09
"Anthyllis vulneraria subsp. maritima",2666,4301804841309.09
"Anthyllis vulneraria subsp. matris-filiae",2,7483204577.39982
"Anthyllis vulneraria subsp. maura",2666,4301804841309.09
"Anthyllis vulneraria subsp. polyphylla",2666,4301804841309.09
"Antigonon leptopus",3,6918714005.67474
"Antirrhinum barrelieri",40,113892004370.061
"Antirrhinum graniticum",77,222882972495.511
"Antirrhinum hispanicum",36,115693953251.3
"Antirrhinum latifolium",90,210124444779.114
"Antirrhinum majus",1379,2628227789209.01
"Antirrhinum meonanthum",38,115183829190.066
"Antirrhinum molle",18,42459642378.5931
"Antirrhinum sempervirens",22,51499730966.558
"Antirrhinum siculum",39,76007380705.6682
"Apera interrupta",329,714098289971.128
"Apera spica-venti",1388,2283609320599.15
"Apium graveolens",1159,2256562812823.1
"Apocynum venetum",3239,5851599977348.76
"Apocynum venetum subsp. sarmatiense",3239,5851599977348.76
"Aposeris foetida",256,510224576236.013
"Apteranthes europaea",6,13954377059.5362
"Aquilegia alpina",159,326158599542.603
"Aquilegia amaliae",1,3572224493.49651
"Aquilegia atrata",437,875521328674.492
"Aquilegia aurea",2,6755116478.17527
"Aquilegia canadensis",1,3572224493.49669
"Aquilegia chrysantha",11,19260678349.9435
"Aquilegia dichroa",1,3572224493.49652
"Aquilegia ecalcarata",1,3572224493.49669
"Aquilegia einseleana",35,64373155961.7558
"Aquilegia flabellata",1,2623234613.11009
"Aquilegia formosa",1,3572224493.49669
"Aquilegia fragrans",1,3572224493.49669
"Aquilegia glandulosa",7,7496313004.20811
"Aquilegia kitaibelii",4,10561520601.822
"Aquilegia longissima",1,3572224493.49669
"Aquilegia nigricans",42,80482419342.9176
"Aquilegia olympica",1,3572224493.49669
"Aquilegia ottonis",1,3572224493.49651
"Aquilegia pyrenaica",53,118088222031.887
"Aquilegia transsilvanica",4,11343422708.3165
"Aquilegia viridiflora",11,17068681349.457
"Aquilegia viscosa",28,66895191644.9292
"Aquilegia vulgaris",2749,4365795124065.44
"Arabidopsis arenosa",1714,2420678971119.29
"Arabidopsis arenosa subsp. borbasii",115,221696655204.364
