plant_species;family;number_herb;number_herb_leaf;AOO;mean_N_per_LDM;EIV-N;EIV-T;EIV-L;plant_height;Woodiness
Ononis natrix;Fabaceae;51;27;NA;NA;1.53454268670636;6.39665512430455;8.0683195342719;0.2850813135463766;Woody
Ononis spinosa;Fabaceae;77;44;NA;44.56368110596914;3.26538138799047;4.84337471250013;8.11766283678353;0.31712007297857114;Woody
Onopordum acanthium;Asteraceae;62;33;2908.6433333333334;NA;8.39388655743034;5.09653915786878;8.70721034315721;1.435413170054895;Non-Woody
Onosma arenaria;Boraginaceae;2;1;4.739999999999999;NA;1.59849490127687;5.88372405131092;8.01529055185529;0.4121285299808557;Non-Woody
Ophioglossum vulgatum;Ophioglossaceae;1;1;1758.2266666666667;NA;2.90851910062181;4.1803247540381;6.35436275193374;0.15650845800732874;Non-Woody
Ophrys apifera;Orchidaceae;2;2;941.5733333333334;NA;2.72474910531374;5.14713519056353;7.25291364868677;0.21465727583654437;Non-Woody
Ophrys insectifera;Orchidaceae;1;1;1322.3566666666668;NA;2.61700754957328;4.281780010669;6.8483668245192;0.26917816354776475;Non-Woody
Ophrys sphegodes;Orchidaceae;2;2;131.09333333333333;NA;3.02779253529678;5.63272742544762;7.8211984873608;0.16212261661978983;Non-Woody
Orchis anthropophora;Orchidaceae;1;1;179.03666666666663;NA;2.94696799830651;5.68977993105356;7.21050404127712;0.2;Non-Woody
Orchis mascula;Orchidaceae;4;3;2674.903333333333;20.440000000000005;3.43923155902393;4.27330136556914;6.31881164327495;0.2913693458576192;Non-Woody
Orchis militaris;Orchidaceae;2;2;1504.5833333333333;27.679999999999996;2.61153241182219;4.56697246614125;7.16717727682791;0.2432803499897092;Non-Woody
Orchis purpurea;Orchidaceae;2;2;948.9666666666668;NA;3.89679712105458;5.21674225985496;5.31796676574723;0.44860463436636616;Non-Woody
Oreochloa disticha;Poaceae;1;1;NA;NA;1.48623671721578;0.538558153184967;9.0383097942777;0.1095445115010332;Non-Woody
Origanum vulgare;Lamiaceae;101;58;5441.376666666667;21.32427404365745;3.53025771563322;4.52031151427268;6.78951462240258;0.3937774180922396;Non-Woody
Orlaya grandiflora;Apiaceae;7;4;13.163333333333332;11.4;3.66836389418064;5.49602850635329;7.64099735749526;0.3145555301632449;Non-Woody
Ornithogalum pyrenaicum;Asparagaceae;4;3;NA;53.00000000000001;4.94037289367013;5.05661847890374;5.22341502754627;1.3;Non-Woody
Ornithogalum umbellatum;Asparagaceae;11;8;2858.473333333334;NA;6.10937675817133;5.00062508549824;6.46408026013603;0.11233828120008175;Non-Woody
Ornithopus perpusillus;Fabaceae;11;1;3582.186666666667;NA;2.16474249844093;4.86319494644078;7.39761282328356;0.19168293127388175;Non-Woody
Orobanche alba;Orobanchaceae;1;0;179.9466666666667;NA;3.30167214740026;4.76915623167889;7.39878284093211;0.6244997998398398;Non-Woody
Orobanche alsatica;Orobanchaceae;1;0;60;NA;3.00945601586179;4.64355148099568;6.93462633084545;0.75;NA
Orobanche caryophyllacea;Orobanchaceae;1;0;543.8766666666667;NA;2.52407303829354;4.82476619795163;8.0594997547426;0.5744562646538028;Non-Woody
Orobanche elatior;Orobanchaceae;2;0;115.63333333333333;NA;3.33778565266841;4.99162624025101;7.23455130920034;0.6;Non-Woody
Orobanche flava;Orobanchaceae;1;0;70.20333333333333;NA;4.19907738311904;3.0919259433544;6.90857412714481;0.75;NA
Orobanche hederae;Orobanchaceae;1;0;66.83333333333333;NA;5.28703396124572;5.48362585030999;3.88611671958598;0.6;Non-Woody
Orobanche lutea;Orobanchaceae;1;0;351.51;NA;3.74401412930492;4.67803154887513;7.14372284451946;0.5979130371550699;NA
Orobanche minor;Orobanchaceae;1;0;171.41666666666666;NA;5.08170888359293;5.70674603117614;6.97405954274558;0.34925779265800605;Non-Woody
Orobanche ramosa;Orobanchaceae;3;0;34.126666666666665;NA;6.48999748210013;5.39831704136786;6.21392431808018;0.447213595499958;Non-Woody
Orobanche rapum-genistae;Orobanchaceae;2;0;254.73333333333335;NA;2.69325540720634;4.96352719242045;6.6219294417115;0.85;NA
Orobanche reticulata;Orobanchaceae;1;0;203.99;NA;4.3685437113112;4.13833744594578;7.03626128150521;0.848528137423857;NA
Orthilia secunda;Ericaceae;8;7;1303.97;17.974790571077612;2.43392955179287;3.30594873585041;3.14870242391859;0.08972092687327321;NA
Osmunda regalis;Osmundaceae;2;2;1549.5200000000002;34.106175131823186;4.82059863618904;5.10384623652925;4.39427971105621;1.158292185288269;Non-Woody
Oxalis acetosella;Oxalidaceae;17;14;10349.253333333332;26.995752618384625;5.66624405343406;3.86103570048708;1.15843669021863;0.06262314426124066;Non-Woody
Oxalis corniculata;Oxalidaceae;10;9;2587.46;NA;6.28984249062148;5.71779704577174;7.13850626462821;0.21487867693399004;Non-Woody
Oxyria digyna;Polygonaceae;14;11;33.303333333333335;30.3496973106808;3.10073402981905;1.20694153444071;7.93126969481276;0.07071067811865477;Non-Woody
Oxytropis montana;Fabaceae;7;7;73.38666666666667;NA;1.97880839110629;1.18279441611979;8.7429480498546;NA;NA
Oxytropis pilosa;Fabaceae;8;4;87.23333333333333;NA;1.70465617453008;5.09996423374687;8.43743613456144;0.24662120743304705;Non-Woody
Papaver dubium;Papaveraceae;17;9;6673.079999999999;NA;5.35142965016064;4.85882129718084;6.78741939470878;0.3089955417375942;Non-Woody
Papaver rhoeas;Papaveraceae;42;17;7435.476666666667;NA;5.86984605742807;5.07774285897508;7.03049029087765;0.39368795149887886;Non-Woody
Parietaria judaica;Urticaceae;26;21;190.90333333333336;NA;6.32101550463212;5.83582995731406;6.43537480153579;0.17186654990277736;Non-Woody
Parietaria officinalis;Urticaceae;20;15;292.68666666666667;NA;7.5330620091557;5.43332455373285;4.51708419537239;0.7168049268431441;Non-Woody
Paris quadrifolia;Melanthiaceae;6;6;5516.45;33.29815698320692;6.85250071715407;3.93547991666186;2.56468253540687;0.2449489742783178;Non-Woody
Parnassia palustris;Celastraceae;5;4;1960.466666666667;17.32318809138683;2.45436341122177;3.10701052633218;7.85479011647195;0.0712880199197191;Non-Woody
Pastinaca sativa;Apiaceae;82;42;6973.216666666667;22.26774615346911;5.69628089606434;4.67170590012591;7.85862121307185;0.3851961498410229;Non-Woody
Pedicularis foliosa;Orobanchaceae;3;3;108.78666666666668;NA;3.49985598255576;1.84256088807969;6.95378539991995;0.27386127875258304;Non-Woody
Pedicularis oederi;Orobanchaceae;8;4;18.253333333333337;28.06064860262499;2.73928656377805;1.30676056576943;8.52996429013;0.06708203932499368;Non-Woody
Pedicularis palustris;Orobanchaceae;23;12;823.4066666666668;26.530000000000005;2.40576786146569;3.50237451355547;7.50328666242093;0.5233175696960528;Non-Woody
Pedicularis recutita;Orobanchaceae;1;1;43.093333333333334;NA;5.41375034728306;2.08170377891372;6.89783735865105;0.27386127875258304;NA
Pedicularis rostratospicata;Orobanchaceae;1;1;16.743333333333336;20.530000000000005;3.56909025319334;1.18279441611979;7.32285318202752;0.19652324440628008;NA
Pedicularis sceptrum-carolinum;Orobanchaceae;5;4;35.516666666666666;18.56932315272131;3.31837598380862;3.34853968327759;7.47719140594489;0.44005586839669675;Non-Woody
Pedicularis sylvatica;Orobanchaceae;14;9;1693.9033333333334;38.59;1.95194972515951;3.85563147808787;7.23182405909907;0.12599210498948732;Non-Woody
