"taxon_name","min_fr"
"Atriplex aucheri",1965
"Atriplex centralasiatica",1961
"Atriplex dimorphostegia",1962
"Atriplex eardleyae",1906
"Atriplex erosa",1835
"Atriplex fera",1807
"Atriplex glauca",1864
"Atriplex halimus",1885
"Atriplex holocarpa",1859
"Atriplex hortensis",1752
"Atriplex laciniata",1823
"Atriplex laevis",1962
"Atriplex leptocarpa",1911
"Atriplex littoralis",1977
"Atriplex micrantha",1920
"Atriplex muelleri",1850
"Atriplex oblongifolia",1850
"Atriplex patula",1937
"Atriplex prostrata",2009
"Atriplex pseudocampanulata",1830
"Atriplex rosea",1658
"Atriplex sagittata",1810
"Atriplex schugnanica",1966
"Atriplex semibaccata",1947
"Atriplex semilunaris",1963
"Atriplex sibirica",1777
"Atriplex suberecta",1835
"Atriplex tatarica",1791
"Atropa bella-donna",1791
"Aubrieta columnae",1896
"Aubrieta deltoidea",1889
"Aubrieta × cultorum",1938
"Aucuba japonica",1844
"Aurinia petraea",1915
"Aurinia saxatilis",1662
"Austrocylindropuntia subulata",1984
"Austroderia richardii",1993
"Austrostipa nitida",1896
"Austrostipa scabra",1896
"Austrostipa verticillata",1824
"Avellinia festucoides",1947
"Avena barbata",1824
"Avena brevis",1865
"Avena byzantina",1939
"Avena fatua",793
"Avena nuda",1830
"Avena sativa",1791
"Avena sterilis",1811
"Avena strigosa",1790
"Avenula pubescens",1937
"Axonopus fissifolius",1911
"Axyris amaranthoides",1791
"Azolla caroliniana",1916
"Azolla filiculoides",1870
"Azolla filiculoides subsp. cristata",1850
"Baccharis halimifolia",1683
"Bacopa caroliniana",2005
"Bacopa monnieri",1952
"Ballota nigra",1400
"Barbarea intermedia",1658
"Barbarea stricta",1840
"Barbarea verna",1600
"Barbarea vulgaris",1600
"Basella alba",1901
"Bassia eriophora",1962
"Bassia hyssopifolia",1861
"Bassia laniflora",1803
"Bassia scoparia",1791
"Beckmannia eruciformis",1837
"Beckmannia syzigachne",1906
"Begonia cucullata var. cucullata",1906
"Begonia × cheimantha",2004
"Begonia × tuberhybrida",2000
"Bellardia trixago",1945
"Bellevalia romana",1872
"Bellis perennis",1694
"Berberis aggregata",1961
"Berberis aquifolium",1733
"Berberis bealei",2009
"Berberis darwinii",1915
"Berberis gagnepainii",1984
"Berberis glaucocarpa",1907
"Berberis julianae",1889
"Berberis microphylla",1900
"Berberis thunbergii",1864
"Berberis vulgaris",1597
"Berberis wilsoniae",1941
"Berberis × decumbens",1973
"Berberis × hybridogagnepainii",2017
"Berberis × interposita",2010
"Berberis × ottawensis",1959
"Berberis × stenophylla",1935
"Bergenia ciliata",1950
"Bergenia crassifolia",1800
"Berteroa incana",1600
"Berteroa mutabilis",1946
"Beta macrocarpa",1859
"Beta trigyna",1859
"Beta vulgaris",1791
"Betonica macrantha",1912
"Betonica officinalis",1928
"Betula alleghaniensis",1990
"Betula fruticosa",2001
"Betula nana",2003
"Betula papyrifera",1968
"Betula pendula",1913
"Betula populifolia",1972
"Betula utilis",1998
"Bidens aurea",1915
"Bidens bipinnata",1805
"Bidens connata",1865
"Bidens frondosa",1814
"Bidens pilosa",1805
"Bidens radiata",1903
"Bidens subalternans",1903
"Bidens tripartita",1823
"Bidens triplinervia",2000
"Bidens vulgata",1892
"Bifora radians",1880
"Bifora testiculata",1891
"Billardiera fusiformis",1984
"Biscutella laevigata",1948
"Biserrula pelecinus",1916
"Bistorta affinis",1854
"Bistorta amplexicaulis",1900
"Bistorta officinalis",1788
"Blechnum capense",1985
"Blechnum cordatum",1952
"Blechnum occidentale",1943
"Blechnum penna-marina",1926
"Blechnum spicant",1978
"Blitum atriplicinum",1963
"Blitum bonus-henricus",1570
"Blitum capitatum",1791
"Blitum nuttallianum",1858
"Blitum virgatum",1658
"Blumenbachia hieronymi",1893
"Blyxa japonica",1956
"Bolboschoenus glaucus",1925
"Bolboschoenus planiculmis",1988
"Bolboschoenus yagara",2017
"Borago officinalis",1777
"Borago pygmaea",1932
"Bothriochloa bladhii",1944
"Bothriochloa decipiens",1813
"Bothriochloa ischaemum",1813
"Bothriochloa macera",1911
"Botrychium simplex",1902
"Bougainvillea glabra",2013
"Boykinia richardsonii",1950
"Brachyglottis huntii",1981
"Brachyglottis monroi",1985
"Brachyglottis repanda",1936
"Brachyglottis × jubar",1981
"Brachypodium distachyon",1823
"Brachypodium hybridum",1903
"Brachypodium phoenicoides",1823
"Brachypodium pinnatum",1891
"Brachyscome iberidifolia",1999
"Brassica barrelieri",2017
"Brassica elongata",1600
"Brassica fruticulosa",1990
"Brassica juncea",1777
"Brassica napus",1660
"Brassica oleracea",1548
"Brassica rapa",1640
"Briza maxima",1812
"Briza media",1978
"Briza minor",1696
"Bromus alopecuros",1898
"Bromus arenarius",1902
"Bromus arvensis",1625
"Bromus brachystachys",1928
"Bromus brevis",1902
"Bromus briziformis",1881
"Bromus carinatus",1823
"Bromus catharticus",1777
"Bromus cebadilla",1958
"Bromus commutatus",1805
"Bromus danthoniae",1905
"Bromus diandrus",1835
"Bromus erectus",1749
"Bromus grossus",1873
"Bromus hordeaceus",1823
"Bromus inermis",1800
"Bromus intermedius",1862
"Bromus interruptus",1849
"Bromus japonicus",1835
"Bromus lanceolatus",1807
"Bromus lepidus",1815
"Bromus madritensis",1716
"Bromus marginatus",1907
"Bromus oxyodon",1807
"Bromus pectinatus",1881
"Bromus polyanthus",1904
"Bromus pseudosecalinus",1890
"Bromus pubescens",1912
"Bromus pumpellianus",1967
"Bromus racemosus",1807
"Bromus rigidus",1834
"Bromus riparius",1807
"Bromus rubens",1827
"Bromus scoparius",1807
"Bromus secalinus",1640
"Bromus sitchensis",1850
"Bromus squarrosus",1807
"Bromus sterilis",1597
"Bromus tectorum",1784
"Bromus × ferronii",1500
"Broussonetia papyrifera",1885
"Brugmansia suaveolens",2000
"Brunnera macrophylla",1796
"Bryonia alba",1662
"Bryonia cretica",1924
"Bryonia cretica subsp. dioica",1803
"Buddleja albiflora",1930
"Buddleja alternifolia",1979
"Buddleja davidii",1895
"Buddleja globosa",1964
"Buddleja × weyeriana",1976
"Buglossoides arvensis",1600
"Buglossoides incrassata",1562
"Bulbostylis capillaris",2000
"Bunias erucago",1797
"Bunias orientalis",1737
"Bunium bulbocastanum",1600
"Buphthalmum salicifolium",1945
"Bupleurum baldense",1945
"Bupleurum croceum",1938
"Bupleurum falcatum",1831
"Bupleurum fruticosum",1885
"Bupleurum gerardi",1807
"Bupleurum lancifolium",1866
"Bupleurum odontites",1835
"Bupleurum pachnospermum",1885
"Bupleurum praealtum",1835
"Bupleurum rotundifolium",1568
"Bupleurum subovatum",1839
"Butomus junceus",1993
"Buxus sempervirens",1600
"Cabomba caroliniana",1937
"Cakile maritima",1960
"Calamagrostis arundinacea",1996
"Calamagrostis breviligulata",1982
"Calamagrostis epigejos",1980
"Calamagrostis purpurea",2000
"Calandrinia ciliata",1900
"Calandrinia pilosiuscula",1853
"Calceolaria chelidonioides",1867
"Calceolaria integrifolia",1967
"Calceolaria pinnata",1855
"Calceolaria tripartita",1951
"Calendula arvensis",1823
"Calendula officinalis",1661
"Calepina irregularis",1868
"Calibrachoa parviflora",1902
"Calla palustris",1861
