"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus"
"Aethionema arabicum",3,TRUE,2624650,"Brassicaceae","Aethionema"
"Aethionema grandiflorum",1,FALSE,2624694,"Brassicaceae","Aethionema"
"Aethionema orbiculatum",1,TRUE,2624720,"Brassicaceae","Aethionema"
"Aethionema saxatile",4,TRUE,2624738,"Brassicaceae","Aethionema"
"Aethionema thomasianum",1,TRUE,2624767,"Brassicaceae","Aethionema"
"Aethusa cynapium",10,TRUE,2624785,"Apiaceae","Aethusa"
"Agapanthus africanus",1,FALSE,293521,"Amaryllidaceae","Agapanthus"
"Agapetes odontocera var. odontocera",1,FALSE,3261729,"Ericaceae","Agapetes"
"Agastache foeniculum",2,FALSE,4454,"Lamiaceae","Agastache"
"Agastache nepetoides",1,FALSE,4471,"Lamiaceae","Agastache"
"Agastache pringlei",1,FALSE,4491,"Lamiaceae","Agastache"
"Agastache rugosa",1,FALSE,4494,"Lamiaceae","Agastache"
"Agave americana",11,FALSE,293578,"Asparagaceae","Agave"
"Agave americana var. franzosini",1,FALSE,523519,"Asparagaceae","Agave"
"Agave amica",2,FALSE,532780,"Asparagaceae","Agave"
"Agave attenuata",1,FALSE,293622,"Asparagaceae","Agave"
"Agave fourcroydes",1,FALSE,293821,"Asparagaceae","Agave"
"Agave salmiana",1,FALSE,294171,"Asparagaceae","Agave"
"Ageratina adenophora",11,FALSE,3126916,"Asteraceae","Ageratina"
"Ageratina altissima",2,FALSE,3126945,"Asteraceae","Ageratina"
"Ageratina aromatica",1,FALSE,3126988,"Asteraceae","Ageratina"
"Ageratum houstonianum",1,FALSE,3129279,"Asteraceae","Ageratum"
"Agrimonia eupatoria",42,TRUE,2907448,"Rosaceae","Agrimonia"
"Agrimonia parviflora",1,FALSE,2907628,"Rosaceae","Agrimonia"
"Agrimonia pilosa",2,TRUE,2901782,"Rosaceae","Agrimonia"
"Agrimonia procera",9,TRUE,2938687,"Rosaceae","Agrimonia"
"Agrimonia repens",5,FALSE,2938694,"Rosaceae","Agrimonia"
"Agropyron cristatum",32,TRUE,388313,"Poaceae","Agropyron"
"Agropyron dasyanthum",2,TRUE,388368,"Poaceae","Agropyron"
"Agropyron desertorum",2,TRUE,388384,"Poaceae","Agropyron"
"Agropyron fragile",2,TRUE,388438,"Poaceae","Agropyron"
"Agrostemma githago",11,TRUE,2626726,"Caryophyllaceae","Agrostemma"
"Agrostis canina",28,TRUE,389335,"Poaceae","Agrostis"
"Agrostis capillaris",123,TRUE,387729,"Poaceae","Agrostis"
"Agrostis castellana",11,TRUE,387742,"Poaceae","Agrostis"
"Agrostis exarata",1,FALSE,389557,"Poaceae","Agrostis"
"Agrostis gigantea",25,TRUE,389634,"Poaceae","Agrostis"
"Agrostis gigantea subsp. maeotica",1,TRUE,389636,"Poaceae","Agrostis"
"Agrostis mertensii",3,TRUE,389907,"Poaceae","Agrostis"
"Agrostis pourretii",2,TRUE,390132,"Poaceae","Agrostis"
"Agrostis rupestris",6,TRUE,390243,"Poaceae","Agrostis"
"Agrostis scabra",1,FALSE,390266,"Poaceae","Agrostis"
"Agrostis schraderiana",5,TRUE,390304,"Poaceae","Agrostis"
"Agrostis stolonifera",74,TRUE,390383,"Poaceae","Agrostis"
